Año,Media (l/m²),Total (l/m²),Desviación estándar (l/m²),Coeficiente de variación (%)
2006,508.29,8165227.90,296.40,58.31
2007,387.67,6227536.10,234.89,60.59
2008,378.82,6085316.30,225.44,59.51
2009,386.38,6206741.90,258.91,67.01
2010,302.36,4857139.20,196.14,64.87
2011,363.93,5846122.20,225.46,61.95
2012,368.27,5915863.60,212.90,57.81
2013,441.05,7085104.20,238.72,54.13
2014,425.69,6838310.00,264.50,62.13
2015,378.03,6072701.10,215.73,57.07
2016,462.37,7427567.40,207.64,44.91
2017,372.03,5976274.60,176.46,47.43
2018,424.25,6815171.90,274.69,64.75
2019,438.77,7048379.70,197.39,44.99
2020,417.19,6701674.80,244.75,58.67
2021,370.19,5946808.00,233.98,63.20
2022,532.04,8546745.60,300.05,56.40
2023,296.54,4763667.50,193.68,65.31
2024,350.11,5624221.60,223.25,63.77
2025,353.33,5675881.30,194.88,55.16
2026,406.99,6537947.80,240.28,59.04
2027,522.36,8391139.60,298.75,57.19
2028,330.89,5315384.40,195.05,58.95
2029,351.87,5652405.20,213.45,60.66
2030,465.89,7484074.40,276.48,59.34
2031,461.37,7411468.30,256.71,55.64
2032,477.32,7667633.40,314.99,65.99
2033,441.68,7095190.50,244.63,55.38
2034,347.90,5588595.60,207.79,59.73
2035,354.73,5698441.20,251.24,70.82
2036,408.45,6561419.60,234.28,57.36
2037,402.20,6460972.60,198.83,49.44
2038,362.80,5828001.20,244.24,67.32
2039,490.87,7885272.20,321.42,65.48
2040,405.08,6507192.60,222.99,55.05
2041,305.87,4913523.60,156.89,51.29
2042,377.10,6057796.90,228.48,60.59
2043,415.80,6679465.70,232.29,55.86
2044,354.09,5688048.90,177.14,50.03
2045,364.17,5850079.30,200.79,55.14
2046,397.42,6384137.80,205.92,51.82
2047,395.28,6349850.90,225.72,57.10
2048,375.07,6025120.80,199.07,53.07
2049,422.03,6779512.60,213.39,50.56
2050,381.94,6135496.80,227.79,59.64
2051,351.97,5654024.60,159.56,45.33
2052,312.67,5022774.20,204.00,65.24
2053,390.04,6265621.10,238.44,61.13
2054,470.74,7561890.90,275.55,58.54
2055,359.35,5772678.50,251.84,70.08
2056,476.71,7657859.40,295.50,61.99
2057,437.62,7029989.80,265.58,60.69
2058,342.70,5505130.80,196.21,57.25
2059,302.01,4851436.70,179.07,59.29
2060,312.60,5021673.30,140.38,44.91
2061,329.75,5297074.00,176.09,53.40
2062,342.36,5499614.20,245.91,71.83
2063,380.87,6118331.20,225.69,59.26
2064,319.28,5128852.20,174.00,54.50
2065,351.53,5646922.10,172.86,49.17
2066,374.86,6021765.70,245.74,65.56
2067,453.07,7278086.30,316.41,69.84
2068,349.07,5607528.10,222.48,63.73
2069,319.52,5132770.60,186.78,58.46
2070,406.93,6536859.50,219.46,53.93
2071,460.04,7390122.20,221.56,48.16
2072,310.65,4990309.00,211.33,68.03
2073,348.67,5601008.30,154.13,44.21
2074,373.13,5994029.90,232.84,62.40
2075,364.39,5853576.30,182.91,50.20
2076,251.90,4046508.00,153.34,60.87
2077,353.62,5680623.60,183.58,51.91
2078,419.22,6734339.70,223.34,53.27
2079,227.99,3662505.60,141.51,62.07
2080,382.72,6147967.90,199.48,52.12
2081,496.59,7977222.50,310.17,62.46
2082,315.10,5061784.10,225.20,71.47
2083,471.93,7581148.00,248.31,52.62
2084,328.24,5272804.50,198.05,60.34
2085,367.30,5900302.80,264.03,71.88
2086,294.53,4731255.20,169.65,57.60
2087,278.22,4469298.30,164.44,59.11
2088,291.90,4689127.80,137.62,47.15
2089,390.60,6274670.00,186.57,47.77
2090,373.67,6002565.90,224.86,60.18
2091,314.13,5046129.10,171.11,54.47
2092,493.41,7926120.20,253.74,51.43
2093,326.84,5250421.90,183.88,56.26
2094,324.57,5213850.80,174.00,53.61
2095,344.56,5535063.60,189.34,54.95
2096,244.70,3930914.50,130.39,53.28
2097,246.81,3964817.80,165.92,67.22
2098,287.31,4615414.50,194.19,67.59
2099,387.10,6218403.00,196.38,50.73
2100,377.23,6059878.60,179.15,47.49
